aabadulla अबदुल्ला
aadhish अधिश
aadidev आदिदेव
aadijay आदिजय
aadil आदिल
aadityapal आदित्यपाल
aadityesh आदित्येश
aahvan आहवन
aakaash आआआआआश
aakriti आकृति
aalok आलोक
aaryan आर्यन
aasha आशा
aashika आशिका
abdulmajid अब्दुलमाजिद
abdulmalik अब्दुलमालिक
abhijay अभिजय
abhilash अभिलाष
abhinandan अभिनंदन
abhinava अभिनव
abhinita अभिनिता
abhiruchi अभिरुचि
abhirupa अभिरूप
abulkalam अबुल कलाम
achintakumar अचिंतकुमार
achyut अच्युत
adishankar आदिशंकर
adrien एड्रियन
afreen आफरीन
agnidev अग्निदेव
agnijvala अग्निज्वाला
agnimitra अगणिमित्रा
ahilya अहिल्या
ajimabibi ajimabibi
ajinkya अजिंक्य
akhilesh अखिलेश
akhtarali अख्तराली
akshayakumar अक्षयकुमार
alberto अल्बर्टो
alfredo अल्फ्रेडो
allison एलीसन
amarjit अमरजीत
amba अंबा
amit अमित
amitabh अमिताभ
amrish अमरीश
anandaram आनंदराम
anavi अनावी
andersson एंडरसन
aniket अनिकेत
anirudh अनिरुद्ध
anitadevi अनीतादेवी
annabell ऐनाबेल
annu अन्नू
antonio एंटोनियो
anuprabha अनुप्रभा
anusri गुदा
arav अरव
archit अर्चित
aroon अरुण
arunadebi अरुणादेवी
arundhathi अरुंधति
arushi आरुषि
ashis उसके रूप में
aslam असलम
asna आसन
aubrey ऑब्रे
azeez अज़ीज़
azima अज़ीमा
babli बबली
bablu बबलू
badal बादल
badri बद्री
baglaprasad बगलाप्रसाद
baijanath बैजनाथ
baikuntha बैकुंठ
bajrang बजरंग
baktiyar भक्तियार
baladhitya बालाधित्य
baldev बलदेव
baldwin बाल्डविन
banobegum बनोबेगम
bansilal बंसी लाल
barbie बार्बी
basudeb वासुदेव
benedict बेनिदिक्त
bertrand बर्ट्रेंड
bharathi भारती
bhavini भाविनी
bhavishya भविष्य
bhavya भव्य
bhikshu भिक्षु
bhimcharan भीमचरण
bhishma भीष्म
bhojraj भोजराज
bhramajit भ्रमजीत
bhubneshwar भुवनेश्वर
bhumi भूमि
bhumika भूमिका
bhupendra भूपेंद्र
bhupesh भूपेश
bhushan भूषण
bhuvan भुवन
bianca बियांका
bidisha बिदिशा
bimalchandra बिमलचंद्र
bimalkanti बिमलकांति
bimla बिमला
bindhuja बिंदुजा
bindudevi बिंदुदेवी
birendr बीरेंद्र
bismil बिस्मिल
bobbie बोबी
bonnie बोनी
brajmohan ब्रजमोहन
brandis ब्रांडिस
bridgett ब्रिजेट
brijesh बृजेश
brijesh बृजेश
brisbane ब्रिस्बेन
bruno ब्रूनो
buchanon बुकानन
budhuram बुधुराम
buland बुलंद
bulbul बुलबुल
callison कॉलिसन
campos कैंपोस
carlson कार्लसन
carolin कैरोलीन
cathee कैथी
catherin कैथरीन
cavery कावेरी
ceasar सीज़र
chaaya छाया
chamanlal चमनलाल
champakalee चंपकली
chanchala चंचला
chandani चांदनी
chandar चंदर
chandbibi चांद बीबी
chandkumar चंदकुमार
chandmahammad चांदमहम्मद
chandrakant चंद्रकांत
chandramukhi चंद्रमुखी
charlson चार्लसन
charu चारू
chatur चतुर
chaturbhuj चतुर्भुज
chelsie चेल्सी
chesta छाती
chetana चेतना
chetas चेतस
chinmayii चिन्मयी
chintana चिंतन
chintu चिंटू
chiranjit चिरंजीत
chirayu चिरायु
chitragandha चित्रगंधा
chitragupt चित्रगुप्त
chitralekha चित्रलेखा
chotelal छात्रावास
chunilal चुन्नीलाल
chunni चुन्नी
clair क्लैर
crawford क्रॉफर्ड
cynthea सिंथिया
darcy डार्सी
darsana दर्शन
dashrathi दशरथ
dayalal दयालाल
dayaram दयाराम
debananda देबानंद
debiprasad देवीप्रसाद
debora डेबोरा
denison डेनिसन
denver डेन्वर
dhaniram धनीराम
dharambir धरमबिर
dhaval धवल
dianna डायना
dimitra दिमित्रा
dipesh दीपेश
dipti दीप्ति
divaakar दिवाकर
divjendu दिव्येंदु
divyaman दिव्यमान
divyanshu दिव्यांशु
divyaprakash दिव्यप्रकाश
divyaratna दिव्यरत्न
diwakar दिवाकर
diwendra देवेंद्र
dixit दीक्षित
diyali दीयाली
dominik डोमिनिक
dorian डोरियन
dostmahammad दोस्तमहमद
drishti दृष्टि
dronacharya द्रोणाचार्य
drsadvati द्रसादवती
dubeshwar दूबेश्वर
dudheshwari दूधेश्वरी
dudheswar दुधेश्वर
dudhiram दुधिराम
dukhiram दुखीराम
dulari दुलारी
dularidevi दुलारीदेवी
dulichand दुलीचंद
durgabahadur दुर्गाबहादुर
durgacharan दुर्गाचरण
durgalakshmi दुर्गालक्ष्मी
durganarayan दुर्गानारायण
durgashankar दुर्गाशंकर
durlabh दुर्लभ
durlabhakumar दुर्लभकुमार
dushyant दुष्यंत
dvarakadasa द्वारकादास
dvarakaprasad द्वारकाप्रसाद
dwarikaprasad द्वारिकाप्रसाद
dwarkadhish द्वारिकाधीश
dwarkanath द्वारकानाथ
dwijdas द्विजदास
dwipesh द्विपेश
ebadat एबादत
ebraham अब्राहम
edmond एडमंड
eduardo एडुआर्डो
eesha ईशा
eeshani ईशानी
eeshwar सोल
ehsan एहसान
eijaz एजाज़
eiravati ऐरावती
ekaant एकांत
ekaatma एकात्मा
ekabandhu एकबंधु
ekachit एकचित
ekadashi एकादशी
ekanta एकांत
eklavya एकलव्य
elachi इलायची
elina एलीना
elisabeth एलिज़ाबेथ
eliza एलिजा
evans इवांस
evelin एवलिन
faalgun फाल्गुन
faalgunee फाल्गुनी
fabien फैबियन
fahad फहद
faizal फैजल
fajila फजिला
fakarauddin फकरुद्दीन
fakeer ठग
farana फराना
farha फरहा
farhan फरहान
farida फरीदा
farookh फारूक
farooq फारूक
fateha फतेहा
fatehapuriya फतेहपुरिया
fatikchand फटिकचंद
faulkner फॉल्कनर
federman फेडरमैन
federoff फेडरॉफ
feinberg फ़िनबर्ग
firdous फिरदौस
florencia फ़्लोरेंस
florentine फ्लोरेंटाइन
frankie फ्रेंकी
fredrich फ्रेडरिक
fujita फुजिता
fuljhari फुलझारी
fulkumari फुलकुमारी
fulmatidevi फुलमतीदेवी
fulrani फुलरानी
fultus फुलटस
gabel मकान का कोना
gabriell गेबरियल
gabriella गैब्रिएला
gafar गफ़र
gafur गफूर
gaganbihari गगनबिहारी
gajadhar गजाधर
gajamati गजमती
gajenadar गजेनादार
gambhir गंभीर
ganapat गणपत
ganesh गणेश
gangadevi गंगदेवी
gangaram गंगाराम
garibachandr गरीबचंद्र
garima गरिमा
gartin गार्टिन
gatiram गतिराम
gauraange गौरांगे
gauresh गौरेश
geet गीत
geetika गीतिका
ghanshyam घनश्याम
giridhar गिरिधर
giridharilal गिरिधारीलाल
girijadevi गिरिजादेवी
girishchandra गिरीशचंद्र
gitali गिटार
giyasudin गयासुद्दीन
